gate_name,variable,input,bin,count
F1_AmeR,x,0.004843,0.001,0.0
F1_AmeR,x,0.004843,0.0010568175092136585,0.0
F1_AmeR,x,0.004843,0.001116863247780561,0.0
F1_AmeR,x,0.004843,0.0011803206356517297,0.0
F1_AmeR,x,0.004843,0.0012473835142429433,9.843100970529755e-06
F1_AmeR,x,0.004843,0.0013182567385564075,0.0
F1_AmeR,x,0.004843,0.0013931568029453036,9.843100970529755e-06
F1_AmeR,x,0.004843,0.0014723125024327193,0.0
F1_AmeR,x,0.004843,0.001555965631605075,0.0
F1_AmeR,x,0.004843,0.0016443717232149323,0.0
F1_AmeR,x,0.004843,0.0017378008287493763,0.0
F1_AmeR,x,0.004843,0.0018365383433483473,0.0
F1_AmeR,x,0.004843,0.0019408858775927793,0.0
F1_AmeR,x,0.004843,0.0020511621788255646,0.0
F1_AmeR,x,0.004843,0.002167704104819694,0.0
F1_AmeR,x,0.004843,0.0022908676527677724,0.0
F1_AmeR,x,0.004843,0.0024210290467361778,0.0
F1_AmeR,x,0.004843,0.0025585858869056452,0.0
F1_AmeR,x,0.004843,0.0027039583641088436,0.0
F1_AmeR,x,0.004843,0.0028575905433749467,0.0
F1_AmeR,x,0.004843,0.003019951720402016,0.0
F1_AmeR,x,0.004843,0.0031915378551007614,9.843100970529755e-06
F1_AmeR,x,0.004843,0.003372873086588689,0.0
F1_AmeR,x,0.004843,0.0035645113342624426,9.843100970529755e-06
F1_AmeR,x,0.004843,0.003767037989839089,0.0
F1_AmeR,x,0.004843,0.003981071705534973,0.0
F1_AmeR,x,0.004843,0.004207266283844442,9.843100970529755e-06
F1_AmeR,x,0.004843,0.004446312674691089,0.0
F1_AmeR,x,0.004843,0.004698941086052156,0.0
F1_AmeR,x,0.004843,0.004965923214503363,0.0
F1_AmeR,x,0.004843,0.005248074602497723,0.0
F1_AmeR,x,0.004843,0.005546257129579105,0.0
F1_AmeR,x,0.004843,0.005861381645140285,0.0
F1_AmeR,x,0.004843,0.006194410750767812,0.0
F1_AmeR,x,0.004843,0.006546361740672747,0.0
F1_AmeR,x,0.004843,0.006918309709189363,9.843100970529755e-06
F1_AmeR,x,0.004843,0.007311390834834172,1.968620194105951e-05
F1_AmeR,x,0.004843,0.007726805850957022,0.0
F1_AmeR,x,0.004843,0.008165823713585922,9.843100970529755e-06
F1_AmeR,x,0.004843,0.008629785477669702,1.968620194105951e-05
F1_AmeR,x,0.004843,0.009120108393559097,2.9529302911589266e-05
F1_AmeR,x,0.004843,0.009638290236239706,9.843100970529755e-06
F1_AmeR,x,0.004843,0.010185913880541169,0.0
F1_AmeR,x,0.004843,0.010764652136298349,0.0
F1_AmeR,x,0.004843,0.01137627285823431,9.843100970529755e-06
F1_AmeR,x,0.004843,0.012022644346174132,9.843100970529755e-06
F1_AmeR,x,0.004843,0.012705741052085419,0.0
F1_AmeR,x,0.004843,0.013427649611378642,9.843100970529755e-06
F1_AmeR,x,0.004843,0.014190575216890926,0.0
